permit_number,streetname,Cross Street 1,Cross Street 2,Permit Type,Agent,AgentPhone,Permit Purpose,Approved Date,Status,cnn,permit_zipcode,permit_start_date,permit_end_date,permit_address,24/7 Contact,Inspector,CurbRampWork,X,Y,Latitude,Longitude,Location
19MSE-00348,TANDANG SORA,BONIFACIO ST,RIZAL ST,MinorEnc,Rodrigo Santos,(415) 642-7222,Place temporary shoring encroaching 2.5' into public ROW along entire length of property on 4th St and Tandang Sora St frontages.,07/16/2019,ACTIVE,12374000,94107,,,345 04TH ST,415-642-7722,Mario Novoa,,6012508.04819,2112638.48646,37.7816068037129,-122.400361611379,POINT (-122.400361611379 37.7816068037129)
20E-00511,BOARDMAN PL,BRYANT ST,FARGO PL,ExcStreet,Phoenix Electric Company,415-533-3535,"Trenching and backfilling for a new electrical, cable and data service.",05/07/2020,APPROVED,3001000,94103,05/11/2020,05/23/2020,833 BRYANT ST,415-671-3858,,,6011640.93351,2110360.35932,37.775303202141,-122.403201131815,POINT (-122.403201131815 37.775303202141)
20EXC-01483,CHENERY ST,CHARLES ST,MIGUEL ST \ WHITNEY ST,Excavation,Pacific Gas & Electric,(925) 588-3241,240 Chenery St,04/07/2020,APPROVED,3920000,94131,05/04/2020,06/01/2020,,415-695-3500,,,6004521.34094,2096833.30025,37.7377608998579,-122.426865870573,POINT (-122.426865870573 37.7377608998579)
20TOC-03568,SWISS AVE,ARBOR ST,SUSSEX ST,TempOccup,AD-LITE CRANE SERVICE,415-453-6300,,05/19/2020,APPROVED,12357000,94131,05/26/2020,05/26/2020,75 SWISS AVE,415-453-6300,,,6001283.8453,2096584.55616,37.736894320504,-122.43804162139,POINT (-122.43804162139 37.736894320504)
20EXC-01975,39TH AVE,TARAVAL ST,,Excavation,Pacific Gas & Electric,5102920681,Taraval St. Potholing - 37th ave. to 44th ave.,05/21/2020,APPROVED,23439000,,05/30/2020,06/27/2020,,415-695-3500,Teresa McNamara,,5984245.4667,2098840.26243,37.7421041856463,-122.497116395657,POINT (-122.497116395657 37.7421041856463)
19EXC-05838,GALVEZ AVE,NEWHALL ST,03RD ST \ SAM JORDANS WAY,Excavation,Pacific Gas & Electric,510-210-2814,Fairfax Ave. & Mendell St.,05/21/2020,APPROVED,5986000,94124,06/29/2020,12/25/2020,,415-695-3394,,,6015754.17512,2097743.79291,37.7408896536439,-122.38809171168,POINT (-122.38809171168 37.7408896536439)
20TOC-03439,ORA WAY,GOLD MINE DR,TOPAZ WAY,TempOccup,Champion Cleaning Specialists Inc.,513-379-7456,,05/07/2020,APPROVED,9961000,94131,05/26/2020,05/27/2020,,650-347-6300,,,6001358.45178,2098209.24338,37.7413595744671,-122.437900009372,POINT (-122.437900009372 37.7413595744671)
20E-00455,TENNESSEE ST,18TH ST,19TH ST,ExcStreet,DaSilva Undergound Construction,(805)234-4620,Replace section of (E) 16' sewer main with 15' VCP along Tennessee St frontage.,05/21/2020,APPROVED,12483000,94107,06/01/2020,06/15/2020,2130 03RD ST,(805)234-4620,Eric Walker,,6015587.08474,2105686.24564,37.7626886999729,-122.389223916167,POINT (-122.389223916167 37.7626886999729)
20EXC-00508,GEARY BLVD,PARKER AVE,,Excavation,"Esquivel Grading & Paving, Inc.",415-468 5700,Geary Rapid West of Van Ness Surface Contract,05/14/2020,APPROVED,26930000,,05/07/2020,10/29/2021,,415-468 5700  8:00am to 5:00 pm,,,5996959.15956,2112955.82976,37.7815988077703,-122.454175993524,POINT (-122.454175993524 37.7815988077703)
19EXC-02689,FOLSOM ST,BEALE ST,ZENO PL,Excavation,Mitchell Engineering. Inc.,415-589-7316,"Transbay Folsom Streetscape Improvements (rebid) Project, Contract ID No. 1000012784",06/14/2019,APPROVED,5653000,94105,06/15/2019,10/09/2020,,415-523-7321,Roberto Aguirre,true,6014681.41172,2115089.08541,37.7884565436735,-122.393014262872,POINT (-122.393014262872 37.7884565436735)
20TC-00199,MARKET ST,02ND ST,MONTGOMERY ST \ NEW MONTGOMERY ST,TableChair,Lee's Deli - 615 Market,(415) 986-1892,,03/16/2020,APPROVED,8743201,94105,03/16/2020,03/15/2021,615 MARKET ST,Refer to Agent,Michael Smith,,6012198.0469,2115319.06725,37.7889497599589,-122.401622537342,POINT (-122.401622537342 37.7889497599589)
19TC-00451,FILBERT ST,FILLMORE ST,STEINER ST,TableChair,"Rooster and Rice, Inc.",415-265-9088,"3 tables, 4 chairs, and 2 benches in the public Right of Way on Filbert St.Tues-Sat: 10:00AM to 9:00PM",08/13/2019,APPROVED,5522000,94123,08/16/2019,08/15/2020,2211 FILBERT ST,415-265-9088,,,6002351.07643,2118759.92946,37.7978430877986,-122.435937988254,POINT (-122.435937988254 37.7978430877986)
19TC-00448,FILLMORE ST,PIXLEY ST,GREENWICH ST,TableChair,PLUMPJACK BALBOA CAFE,415-921-3944,Greenwich St - five (5) tables & twenty (20) chairs; Fillmore St - three (3) tables & twelve (12) chairs,08/13/2019,APPROVED,5564000,94123,08/16/2019,08/15/2020,3199 FILLMORE ST,Refer to Agent,,,6002302.8951,2119106.00423,37.7987905815441,-122.43612948713,POINT (-122.43612948713 37.7987905815441)
19MFF-00103,TOWNSEND ST,06TH ST,07TH ST,FoodFac,Two G's Catering,650-873-1939,,08/13/2019,APPROVED,12665000,94103,08/13/2019,07/15/2020,,(650) 766-0770,,,6012389.19092,2109395.35587,37.77269528219,-122.400544919026,POINT (-122.400544919026 37.77269528219)
18WR-0323,BURROWS ST,HOLYOKE ST,HAMILTON ST,Wireless,"GTE Mobilnet of California, Limited Partnership",415-989-1102,,06/14/2019,APPROVED,3410000,94134,06/14/2019,03/31/2030,301 HAMILTON ST,Refer to Agent,,,6009367.21693,2092882.35425,37.727185251788,-122.409832454321,POINT (-122.409832454321 37.727185251788)
20EXC-01847,DENSLOWE DR,WYTON LN,HOLLOWAY AVE,Excavation,Pacific Gas & Electric,415-695-3500,139 Denslowe Dr,05/07/2020,APPROVED,4716000,94132,05/13/2020,06/10/2020,,4156953330,,,5990648.93159,2091427.3931,37.722123506484,-122.474434616229,POINT (-122.474434616229 37.722123506484)
19EXC-02689,FREMONT ST,FOLSOM ST,HARRISON ST \ I-80 W OFF RAMP,Excavation,Mitchell Engineering. Inc.,415-589-7316,"Transbay Folsom Streetscape Improvements (rebid) Project, Contract ID No. 1000012784",06/14/2019,APPROVED,5864000,94105,06/15/2019,10/09/2020,,415-523-7321,Roberto Aguirre,,6014728.15387,2114696.3887,37.7873808851595,-122.392825057081,POINT (-122.392825057081 37.7873808851595)
20EXC-02007,HAYES ST,POLK ST,VAN NESS AVE,Excavation,San Francisco Water Department,415-550-4910,200-214 Van Ness Ave,05/21/2020,APPROVED,6813000,94102,05/26/2020,06/08/2020,200 VAN NESS AVE,CDD Dispatch 415-550-4900,Alejandro DelCalvo,,6006955.34806,2111262.63639,37.7775178468801,-122.419473711103,POINT (-122.419473711103 37.7775178468801)
20TC-00040,BALBOA ST,35TH AVE,36TH AVE,TableChair,SIMPLE PLEASURES CAFÉ,(415) 265-7374,Tables and Chairs,01/28/2020,APPROVED,2680000,94121,01/16/2020,01/15/2021,3434 BALBOA ST,415-265-7374,,,5984886.07308,2111149.1633,37.7759385201735,-122.49580918509,POINT (-122.49580918509 37.7759385201735)
19MFF-00040,ELLIS ST,POWELL ST,CYRIL MAGNIN ST,FoodFac,Treats by the Bay LLC,510-320-6375,,09/10/2019,APPROVED,5170000,94102,09/10/2019,07/15/2020,120 ELLIS ST,Refer to Agent,,,6010293.30595,2114126.41937,37.785568563353,-122.408128569549,POINT (-122.408128569549 37.785568563353)
19EXC-01045,ALEMANY BLVD,LEO ST,ONONDAGA AVE,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,2167102,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6001141.91317,2091264.22022,37.7222778274369,-122.438151332606,POINT (-122.438151332606 37.7222778274369)
19EXC-01045,NORTON ST,MISSION ST,ALEMANY BLVD,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,9714000,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6001858.35802,2092242.38049,37.7250043555143,-122.435744705542,POINT (-122.435744705542 37.7250043555143)
20TOC-03442,GIRARD ST,WAYLAND ST,,TempOccup,Champion Cleaning Specialists Inc.,513-379-7456,,05/07/2020,APPROVED,20633000,94134,05/27/2020,05/28/2020,201 WAYLAND ST,650-347-6300,,,6010991.77241,2092429.51034,37.7260327465281,-122.404184492657,POINT (-122.404184492657 37.7260327465281)
19EXC-01045,ADMIRAL AVE,CAMELLIA AVE,ALEMANY BLVD,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,2098000,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6003303.42234,2094198.04257,37.7304561423975,-122.430888785379,POINT (-122.430888785379 37.7304561423975)
19EXC-01045,ALEMANY BLVD,SILVER AVE,,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,21781000,,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,true,6002576.03184,2093965.19743,37.7297755615892,-122.43338684356,POINT (-122.43338684356 37.7297755615892)
19EXC-06238,BUSH ST,CHATHAM PL,STOCKTON ST,Excavation,Pacific Gas & Electric,(925) 588-3241,Bush Street Y3,05/21/2020,APPROVED,3432000,94108,06/01/2020,06/29/2020,,415-695-3500,Marc Anthony Bura,,6010732.97818,2115883.98429,37.7904190260566,-122.406731331464,POINT (-122.406731331464 37.7904190260566)
19TC-00379,MASON ST,WASHINGTON ST,JACKSON ST,TableChair,GALLERY CAFE,415-368-9022,Tables & ChairsM-Su 6:30am to 9:00pm,06/18/2019,APPROVED,8818000,94108,06/16/2019,06/15/2020,1200 MASON ST,Refer to Agent,,,6009477.83646,2117486.51731,37.7947488859284,-122.411187305205,POINT (-122.411187305205 37.7947488859284)
19EXC-01045,ALEMANY BLVD,LYELL ST,SILVER AVE,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,2160201,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6002882.41786,2094147.79995,37.7302943244024,-122.432340670078,POINT (-122.432340670078 37.7302943244024)
19TC-00543,HYDE ST,PINE ST,CALIFORNIA ST,TableChair,Nob Hill Liquor,415-885-4765,Tables and ChairsMon-Sun 9am to 5pm,10/15/2019,APPROVED,7125000,94109,10/16/2019,10/15/2020,1000 HYDE ST,415-885-4765,,,6007740.93945,2115881.81226,37.7902452010834,-122.417083462258,POINT (-122.417083462258 37.7902452010834)
20PKT-00016,BALBOA ST,35TH AVE,36TH AVE,Parklet,SIMPLE PLEASURES CAFÉ,(415) 265-7374,"A 26' LONG x 12' WIDE PARKLET (EXISTING DIAGONAL PARKING) CONSISTING OF AN ADJUSTABLE SLIP RESISTANT AND ACCESSIBLE CONCRETE PAVER DECK SUPPORT SYSTEM, A DIAMOND FINISH TRANSISTION PLATE WITH A PERFORATED METAL FASCIA AT THE CURB FOR DRAINAGE, FIVE (5) PLANTERS, FOUR (4) BENCHES AND NINE (9) TABLES FOR USE BY THE GENERAL PUBLIC FRONTING THE SUBJECT BUSINESS.",02/10/2020,APPROVED,2680000,94121,02/17/2020,02/16/2021,3434 BALBOA ST,415-265-7374,,,5984886.07308,2111149.1633,37.7759385201735,-122.49580918509,POINT (-122.49580918509 37.7759385201735)
19TC-00361,KEARNY ST,BUSH ST,PINE ST,TableChair,"Felucca, LLC dba Foundation Cafe",415-781-8880,To place three (3) tables and nine (9) chairs in the sidewalk.,06/05/2019,APPROVED,7753000,94108,06/16/2019,06/15/2020,335 KEARNY ST,Refer to Agent,Mari Anderson,,6011431.43942,2116194.46249,37.7913105798513,-122.404336550793,POINT (-122.404336550793 37.7913105798513)
19D-00218,UNION ST,OCTAVIA ST,LAGUNA ST,Display,Jest Jewels,415-563-8881,"To display non-food merchandise between the hours of 10:00 AM to 7:00 PM of Mon - Wed, and the hours of 10:00 AM to 7:30 PM of Thurs - Sun.",08/16/2019,APPROVED,12867000,94123,08/16/2019,08/15/2020,1869 UNION ST,Refer to Agent,,,6004079.4515,2118660.24483,37.7976674125647,-122.429950212901,POINT (-122.429950212901 37.7976674125647)
19EXC-01045,ALEMANY BLVD,FRANCIS ST,SANTA ROSA AVE,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,2164102,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6001891.39566,2093018.99305,37.7271386342721,-122.435686034871,POINT (-122.435686034871 37.7271386342721)
19EXC-01045,FRANCIS ST,MISSION ST,ALEMANY BLVD,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,5753000,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6002268.8087,2092988.57211,37.727076535413,-122.434379149718,POINT (-122.434379149718 37.727076535413)
20TOC-03482,TERRY A FRANCOIS BLVD,CHINA BASIN ST,MISSION BAY BLVD,TempOccup,AGS INC.,916 842 0710,,05/11/2020,APPROVED,12532002,94158,05/13/2020,05/22/2020,,415 777 2166 X 44,,,6016374.03118,2108961.29046,37.7717248598288,-122.386730520654,POINT (-122.386730520654 37.7717248598288)
19EXC-01045,COTTER ST,ALEMANY BLVD,CAYUGA AVE,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,4463000,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6001990.65262,2093478.37942,37.7284056423093,-122.435375752182,POINT (-122.435375752182 37.7284056423093)
20TOC-03714,05TH ST,WELSH ST,BRANNAN ST,TempOccup,DPW-BSES,415-641-2626,,05/18/2020,APPROVED,305000,94107,05/19/2020,07/31/2020,610 BRANNAN ST,415-695-2134,,,6012704.18532,2110820.82461,37.7766268571658,-122.399555411095,POINT (-122.399555411095 37.7766268571658)
20EXC-01371,STOCKTON ST,POST ST,CAMPTON PL,Excavation,CableCom,650-544-4467,300 Post St.,05/18/2020,APPROVED,12198000,94108,05/21/2020,06/18/2020,300 POST ST,650-544-44667,Marc Anthony Bura,,6010690.99991333,2115198.30238675,37.7885339587024,-122.406828228528,POINT (-122.406828228528 37.7885339587024)
19EXC-01045,SANTA ROSA AVE,ALEMANY BLVD,CAYUGA AVE,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,11590000,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6001684.0032,2092952.32321,37.7269437917994,-122.436398217575,POINT (-122.436398217575 37.7269437917994)
20EXC-01991,LARKIN ST,CALIFORNIA ST,SACRAMENTO ST,Excavation,Pacific Gas & Electric,(925) 588-3241,"District 3, 6 - MH 2260-2857",05/21/2020,APPROVED,8141000,94109,06/01/2020,06/29/2020,,415-695-3500,Marc Anthony Bura,,6007157.46093,2116258.27018,37.7912460209677,-122.419128973531,POINT (-122.419128973531 37.7912460209677)
19WR-00025,CESAR CHAVEZ ST,CAPP ST \ MISSION ST,VALENCIA ST,Wireless,ExteNet Systems (California) LLC,415-377-7826,,07/19/2019,APPROVED,2489101,94110,07/19/2019,04/30/2030,3425 CESAR CHAVEZ ST,"Joseph Camicia, 415-722-1183",,,6006750.77433,2100373.98133,37.7476086208952,-122.419408739667,POINT (-122.419408739667 37.7476086208952)
20ADS-00065,REDWOOD ST,POLK ST,VAN NESS AVE,AddlStSpac,"JS Sullivan Construction, Inc.",(415)390-0338,Parking for Construction of new 11 story building,05/18/2020,APPROVED,10955000,94102,05/18/2020,08/18/2020,400 MCALLISTER ST,415-390-0338,,,6007110.58135,2112352.36912,37.7805187323463,-122.419014018019,POINT (-122.419014018019 37.7805187323463)
16IE-0423,CAROLINA ST,MARIPOSA ST,18TH ST,StrtImprov,"QLM, Inc.",408-265-0904,"Reconstruct sidewalk, curb cut, bulbout and curb/gutter per plans. Saw-cut minimum 2’ for AC conform and replace with 2” ACWS over 8” concrete base. All work shall be done per city standards and as directed by City inspector.",08/13/2019,APPROVED,3709000,94107,,08/13/2020,1601 MARIPOSA ST,Refer to Agent,,,6012642.45053,2106053.19372,37.7635325754175,-122.399434183079,POINT (-122.399434183079 37.7635325754175)
20E-00509,STOCKTON ST,OFARRELL ST,GEARY ST,ExcStreet,"St. Francis Electric, LLC",510-750-8310,Installation of two pole foundations and SFMTA OCS poles.,05/12/2020,ACTIVE,12195000,94108,05/15/2020,06/13/2020,120 STOCKTON ST,510-750-8310,Mario Novoa,,6010829.30521,2114609.96467,37.7869262610226,-122.406308241211,POINT (-122.406308241211 37.7869262610226)
20SSP-00271,JACKSON ST,FRANKLIN ST,GOUGH ST,StreetSpace,Seismic Retrofitters,822-4200,,05/11/2020,APPROVED,7398000,94109,05/25/2020,07/25/2020,1885 JACKSON ST,415-822-4200,,,6005240.21534,2117101.94754,37.7934543912572,-122.425822674649,POINT (-122.425822674649 37.7934543912572)
19EXC-05439,GREENWICH ST,POWELL ST,VIA BUFANO,Excavation,R & S Construction Management Inc,(415) 746-9564,Various Locations Curb Ramps No.9,10/25/2019,APPROVED,6496000,94133,10/28/2019,05/30/2020,,415-746-9564,Michael Wong,,6009470.49805,2120154.99786,37.8020754647834,-122.411401307147,POINT (-122.411401307147 37.8020754647834)
20SSP-00038,06TH ST,MINNA ST,NATOMA ST,StreetSpace,DPW-BSES,415-641-2626,,04/08/2020,APPROVED,330000,94103,04/08/2020,07/31/2020,148 06TH ST,415-695-2134,,,6010287.3893,2112176.87439,37.7802152427761,-122.408011505758,POINT (-122.408011505758 37.7802152427761)
16WR-0117,CLAY ST,BAKER ST,LYON ST,Wireless,Verizon Wireless,415-989-1102,,03/30/2018,ACTIVE,4118000,94115,03/30/2018,12/31/2028,3126 CLAY ST,Refer to Agent,Enyinnaya Nwamu,,5999763.41264,2115784.46494,37.7895259092736,-122.444678021653,POINT (-122.444678021653 37.7895259092736)
14WR-0088,07TH ST,HOOPER ST,,Wireless,Verizon Wireless,415-989-1102,,11/30/2015,APPROVED,23791000,94107,11/30/2015,08/31/2026,100 HOOPER ST,Kevin Bowyer 408-219-5442,,,6012724.06454,2107815.6482,37.7683764308831,-122.399275633585,POINT (-122.399275633585 37.7683764308831)
19MFF-00127,POST ST,MONTGOMERY ST,LICK PL,FoodFac,Treats by the Bay LLC,510-320-6375,,04/22/2020,APPROVED,10624001,94104,04/22/2020,07/15/2020,1 MONTGOMERY ST,Refer to Agent,,,6012042.79622,2115455.44559,37.7893155583338,-122.402169279042,POINT (-122.402169279042 37.7893155583338)
20TOC-03782,15TH ST,HARRISON ST,FOLSOM ST,TempOccup,Pacific Gas & Electric,209-403-0242,,05/22/2020,APPROVED,644000,94103,06/06/2020,06/07/2020,,1-800-743-3500,,,6008354.36839,2107404.68015,37.7670035066992,-122.41436097605,POINT (-122.41436097605 37.7670035066992)
20TC-00191,BELDEN ST,BUSH ST,PINE ST,TableChair,B44,(415) 986-5673,,03/16/2020,APPROVED,2884000,94104,03/16/2020,03/15/2021,44 BELDEN ST,Refer to Agent,,,6011613.40836,2116189.88854,37.791308187699,-122.403706617186,POINT (-122.403706617186 37.791308187699)
20EXC-00141,BALBOA ST,06TH AVE,07TH AVE,Excavation,Bay Area Lightworks,415-822-2336,"CURB RAMPS #13 VARIOUS LOCATIONS, CONTRACT ID NO. 1000009580",03/25/2020,APPROVED,2650000,94118,03/30/2020,12/14/2020,,Bay Area Lightworks 415-822-2336,,,5993931.25382,2111420.83433,37.7772100295321,-122.464539531365,POINT (-122.464539531365 37.7772100295321)
19EXC-01045,ALEMANY BLVD,ROUSSEAU ST,ADMIRAL AVE,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,2159101,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6003491.75626,2094313.44879,37.7307836910976,-122.430245918511,POINT (-122.430245918511 37.7307836910976)
20EXC-01160,SUTTER ST,JONES ST,LEAVENWORTH ST,Excavation,CableCom,650-520-7091,830 Sutter St.,04/07/2020,APPROVED,12326000,94109,05/04/2020,06/01/2020,830 SUTTER ST,650-544-4467,,,6008611.42251,2115281.37835,37.7886454858103,-122.41402915033,POINT (-122.41402915033 37.7886454858103)
19EXC-01045,ALEMANY BLVD,ROUSSEAU ST,,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,21705000,,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,true,6003688.90711,2094402.6835,37.731039874399,-122.42957069859,POINT (-122.42957069859 37.731039874399)
19EXC-05838,MENDELL ST,FAIRFAX AVE,GALVEZ AVE,Excavation,Pacific Gas & Electric,510-210-2814,Fairfax Ave. & Mendell St.,05/21/2020,APPROVED,8957000,94124,06/29/2020,12/25/2020,,415-695-3394,,,6016479.55073,2097377.6651,37.7399245032444,-122.385558098771,POINT (-122.385558098771 37.7399245032444)
19EXC-01045,SAN JUAN AVE,ALEMANY BLVD,CAYUGA AVE,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,11477000,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6001360.79869,2092248.76445,37.7249936092001,-122.437465166933,POINT (-122.437465166933 37.7249936092001)
19EXC-01045,ALEMANY BLVD,TINGLEY ST,,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,21763000,,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,true,6002402.57502,2093796.8515,37.7293034795946,-122.433974473722,POINT (-122.433974473722 37.7293034795946)
19MFF-00103,CHINA BASIN ST,TERRY A FRANCOIS BLVD,03RD ST,FoodFac,Two G's Catering,650-873-1939,,08/13/2019,APPROVED,15024000,94158,08/13/2019,07/15/2020,,(650) 766-0770,,,6015938.19022,2109099.44118,37.7720800518214,-122.388247779008,POINT (-122.388247779008 37.7720800518214)
18WR-0359,19TH ST,CASTRO ST,COLLINGWOOD ST,Wireless,Pacific Bell Telephone Company,650-991-4094,,06/05/2019,APPROVED,985000,94114,06/05/2019,03/31/2030,4105 19TH ST,Refer to Agent,,,6002281.49521,2104670.0144,37.7591517660019,-122.435170449526,POINT (-122.435170449526 37.7591517660019)
19MFF-00051,FOLSOM ST,FALMOUTH ST,06TH ST,FoodFac,Paradise Catering,(415) 602-5811,,07/08/2019,APPROVED,5666000,94107,07/08/2019,07/15/2020,,(415) 602-5811,,,6011141.60673,2111706.94204,37.7789727073278,-122.405023262179,POINT (-122.405023262179 37.7789727073278)
19EXC-01045,LYELL ST,CAYUGA AVE,ALEMANY BLVD,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,8550000,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6003189.24576,2094321.43944,37.730788492414,-122.431292314857,POINT (-122.431292314857 37.730788492414)
19MFF-00051,03RD ST,MISSION BAY BLVD,WARRIORS WAY,FoodFac,Paradise Catering,(415) 602-5811,,07/08/2019,APPROVED,185104,94158,07/08/2019,07/15/2020,,(415) 602-5811,,,6015609.31248,2108254.25557,37.7697411295725,-122.38932637291,POINT (-122.38932637291 37.7697411295725)
19EXC-01045,ALEMANY BLVD,HARRINGTON ST,,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,32970000,,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,true,6001713.48934,2092629.28276,37.7260584715699,-122.436273176006,POINT (-122.436273176006 37.7260584715699)
19MFF-00051,MISSION ST,07TH ST,ANGELOS ALY \ JULIA ST,FoodFac,Paradise Catering,(415) 602-5811,,07/08/2019,APPROVED,9101000,94103,07/08/2019,07/15/2020,,(415) 602-5811,,,6009217.06465,2111620.83107,37.7786284957282,-122.411674964707,POINT (-122.411674964707 37.7786284957282)
19EXC-05838,GALVEZ AVE,MENDELL ST,NEWHALL ST,Excavation,Pacific Gas & Electric,510-210-2814,Fairfax Ave. & Mendell St.,05/21/2020,APPROVED,5985000,94124,06/29/2020,12/25/2020,,415-695-3394,,,6016130.47816,2097463.31105,37.7401403492319,-122.386771028568,POINT (-122.386771028568 37.7401403492319)
19EXC-01045,ALEMANY BLVD,THERESA ST,,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,21766000,,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,true,6002252.49632,2093591.739,37.7287317690244,-122.434478648844,POINT (-122.434478648844 37.7287317690244)
20EXC-01941,14TH ST,CASTRO ST,DIVISADERO ST,Excavation,San Francisco Water Department,415-550-4910,4-6 Divisadero St (on 14th St),05/18/2020,APPROVED,601000,94117,05/25/2020,06/07/2020,4 DIVISADERO ST,CDD Dispatch 415-550-4900,George Shami,,6002032.7749,2107688.10581,37.7674245818598,-122.436246631545,POINT (-122.436246631545 37.7674245818598)
20SSP-00037,WILLOW ST,LARKIN ST,POLK ST,StreetSpace,DPW-BSES,415-641-2626,,04/08/2020,APPROVED,13662000,94109,04/08/2020,07/31/2020,625 LARKIN ST,415-695-2134,,,6007505.99165,2113469.00468,37.7836070015281,-122.417725273742,POINT (-122.417725273742 37.7836070015281)
19EXC-05924,TERRA VISTA AVE,FORTUNA AVE,SONORA LN,Excavation,Pacific Gas & Electric,925-968-8248,Anza Vista,01/24/2020,APPROVED,12523000,94115,02/22/2020,06/22/2020,,415-264-6935,,,6000094.71526,2112830.95374,37.781435233001,-122.443319527079,POINT (-122.443319527079 37.781435233001)
18WR-0016,FILLMORE ST,EDDY ST,ELLIS ST,Wireless,AT&T Mobility,650-991-4094,,06/04/2018,ACTIVE,5544000,94115,06/04/2018,03/31/2029,1510 EDDY ST,Refer to Agent,Enyinnaya Nwamu,,6003210.37721,2112794.7288,37.7815129441691,-122.432538265182,POINT (-122.432538265182 37.7815129441691)
19EXC-01045,SANTA ROSA AVE,MISSION ST,ALEMANY BLVD,Excavation,"D'Arcy and Harty Construction,Inc.",415 559 3325,Alemany Blvd Infrastructure Improvements,06/05/2019,APPROVED,11589000,94112,06/20/2019,11/30/2020,,415 559 3325,Peter Liu,,6002086.86042,2092687.85159,37.7262404954137,-122.434986643765,POINT (-122.434986643765 37.7262404954137)
19WR-00095,DRUMM ST,CLAY ST,WASHINGTON ST,Wireless,"Mobilitie, LLC",562-631-7008,,08/13/2019,APPROVED,4972000,94111,08/13/2019,05/31/2030,,Refer to Agent,,,6013623.96033,2117823.74218,37.7959064736813,-122.396864705578,POINT (-122.396864705578 37.7959064736813)
20EXC-00687,13TH ST,11TH ST \ BRYANT ST \ DIVISION ST,HARRISON ST,Excavation,Bay Area Lightworks,415-822-2336,"Contract No. 34 - Traffic Signal Modifications, Contract ID No. 1000007419",02/14/2020,APPROVED,548101,94103,02/21/2020,08/11/2020,,Jim Lau 415-822-2336,Stephen Pereira Schork,,6009009.04598,2108282.20181,37.7694497323522,-122.412158565329,POINT (-122.412158565329 37.7694497323522)
